shift_id,year,month,date,day_of_week,staff_id,staff_name,start_time,end_time,break_minutes,actual_hours,role,hourly_rate,daily_wage,status,modified_flag,modified_by,notes
SH20241101001,2024,11,1,Friday,1,田中太郎,09:00,21:00,60,11.0,スタッフ,1500,16500.0,planned,False,,
SH20241101002,2024,11,1,Friday,2,佐藤花子,09:00,21:00,60,11.0,スタッフ,1300,14300.0,planned,False,,
SH20241101003,2024,11,1,Friday,3,鈴木次郎,09:00,21:00,60,11.0,スタッフ,1100,12100.0,planned,False,,
SH20241101004,2024,11,1,Friday,4,山田美咲,09:00,21:00,60,11.0,スタッフ,1000,11000.0,planned,False,,
SH20241101005,2024,11,1,Friday,5,高橋健太,09:00,21:00,60,11.0,スタッフ,1000,11000.0,planned,False,,
SH20241101006,2024,11,1,Friday,6,伊藤さくら,09:00,21:00,60,11.0,スタッフ,1100,12100.0,planned,False,,
SH20241101007,2024,11,1,Friday,7,渡辺翔,09:00,21:00,60,11.0,スタッフ,950,10450.0,planned,False,,
SH20241101008,2024,11,1,Friday,8,中村陽子,09:00,21:00,60,11.0,スタッフ,1200,13200.0,planned,False,,
SH20241104009,2024,11,4,Monday,1,田中太郎,09:00,21:00,60,11.0,スタッフ,1500,16500.0,planned,False,,
SH20241104010,2024,11,4,Monday,2,佐藤花子,09:00,21:00,60,11.0,スタッフ,1300,14300.0,planned,False,,
SH20241104011,2024,11,4,Monday,3,鈴木次郎,09:00,21:00,60,11.0,スタッフ,1100,12100.0,planned,False,,
SH20241104012,2024,11,4,Monday,4,山田美咲,09:00,21:00,60,11.0,スタッフ,1000,11000.0,planned,False,,
SH20241104013,2024,11,4,Monday,5,高橋健太,09:00,21:00,60,11.0,スタッフ,1000,11000.0,planned,False,,
SH20241104014,2024,11,4,Monday,6,伊藤さくら,09:00,21:00,60,11.0,スタッフ,1100,12100.0,planned,False,,
SH20241104015,2024,11,4,Monday,7,渡辺翔,09:00,21:00,60,11.0,スタッフ,950,10450.0,planned,False,,
SH20241104016,2024,11,4,Monday,8,中村陽子,09:00,21:00,60,11.0,スタッフ,1200,13200.0,planned,False,,
SH20241105017,2024,11,5,Tuesday,1,田中太郎,09:00,21:00,60,11.0,スタッフ,1500,16500.0,planned,False,,
SH20241105018,2024,11,5,Tuesday,2,佐藤花子,09:00,21:00,60,11.0,スタッフ,1300,14300.0,planned,False,,
SH20241105019,2024,11,5,Tuesday,3,鈴木次郎,09:00,21:00,60,11.0,スタッフ,1100,12100.0,planned,False,,
SH20241105020,2024,11,5,Tuesday,4,山田美咲,09:00,21:00,60,11.0,スタッフ,1000,11000.0,planned,False,,
SH20241105021,2024,11,5,Tuesday,5,高橋健太,09:00,21:00,60,11.0,スタッフ,1000,11000.0,planned,False,,
SH20241105022,2024,11,5,Tuesday,6,伊藤さくら,09:00,21:00,60,11.0,スタッフ,1100,12100.0,planned,False,,
SH20241105023,2024,11,5,Tuesday,7,渡辺翔,09:00,21:00,60,11.0,スタッフ,950,10450.0,planned,False,,
SH20241105024,2024,11,5,Tuesday,8,中村陽子,09:00,21:00,60,11.0,スタッフ,1200,13200.0,planned,False,,
SH20241106025,2024,11,6,Wednesday,1,田中太郎,09:00,21:00,60,11.0,スタッフ,1500,16500.0,planned,False,,
SH20241106026,2024,11,6,Wednesday,2,佐藤花子,09:00,21:00,60,11.0,スタッフ,1300,14300.0,planned,False,,
SH20241106027,2024,11,6,Wednesday,3,鈴木次郎,09:00,21:00,60,11.0,スタッフ,1100,12100.0,planned,False,,
SH20241106028,2024,11,6,Wednesday,4,山田美咲,09:00,21:00,60,11.0,スタッフ,1000,11000.0,planned,False,,
SH20241106029,2024,11,6,Wednesday,5,高橋健太,09:00,21:00,60,11.0,スタッフ,1000,11000.0,planned,False,,
SH20241106030,2024,11,6,Wednesday,6,伊藤さくら,09:00,21:00,60,11.0,スタッフ,1100,12100.0,planned,False,,
SH20241106031,2024,11,6,Wednesday,7,渡辺翔,09:00,21:00,60,11.0,スタッフ,950,10450.0,planned,False,,
SH20241106032,2024,11,6,Wednesday,8,中村陽子,09:00,21:00,60,11.0,スタッフ,1200,13200.0,planned,False,,
SH20241107033,2024,11,7,Thursday,1,田中太郎,09:00,21:00,60,11.0,スタッフ,1500,16500.0,planned,False,,
SH20241107034,2024,11,7,Thursday,2,佐藤花子,09:00,21:00,60,11.0,スタッフ,1300,14300.0,planned,False,,
SH20241107035,2024,11,7,Thursday,3,鈴木次郎,09:00,21:00,60,11.0,スタッフ,1100,12100.0,planned,False,,
SH20241107036,2024,11,7,Thursday,4,山田美咲,09:00,21:00,60,11.0,スタッフ,1000,11000.0,planned,False,,
